title,price,area,location,status
3 BHK Apartment in Rainbow Pebbles,"28,000",1250,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Goel Ganga Legend A4 And B1,"25,000",1150,"Bavdhan, Pune",Semi-Furnished
2 BHK Apartment in Rainbow Pebbles,"23,000",1076,"Bavdhan, Pune",Semi-Furnished
2 BHK Apartment in Vistacore Ambiience Antilia,"22,000",1000,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Nyati Equatorial,"28,000",1090,"Bavdhan, Pune",Furnished
2 BHK Apartment in Abhinav Pebbles II,"24,000",1090,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Suyog Padmavati Hills,"22,000",1050,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Abhinav Pebbles II,"26,500",1005,"Bavdhan, Pune",Furnished
3 BHK Apartment in Lohia Riddhi Siddhi,"25,000",1520,"Bavdhan, Pune",Semi-Furnished
3 BHK Apartment in Puraniks Abitante Phase 1A,"25,000",1480,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Lohia Odela,"30,000",1230,"Bavdhan, Pune",Unfurnished
3 BHK Apartment in Devi Sacred Heart Town,"36,000",1550,"Wanowrie, Pune",Furnished
3 BHK Apartment in Geras Emerald City,"40,000",1850,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment in Bramha F Residences,"30,000",1200,"Wadgaon Sheri, Pune",Unfurnished
3 BHK Apartment in Shubh Gateway,"50,000",1680,"Viman Nagar, Pune",Unfurnished
2 BHK Apartment in Alcon Renaissant,"40,000",1250,"Kharadi, Pune",Furnished
3 BHK Apartment in Lunkad Sky Vie,"70,000",1750,"Viman Nagar, Pune",Furnished
4 BHK Apartment in Marvel Piazza Phase 01,"80,000",2600,"Viman Nagar, Pune",Unfurnished
3 BHK Apartment in Shubh Gateway,"48,000",1650,"Viman Nagar, Pune",Unfurnished
2 BHK Apartment in Karia Konark Campus,"42,000",1250,"Viman Nagar, Pune",Furnished
2 BHK Apartment in Shubh Shagun,"26,000",1100,"Kharadi, Pune",Unfurnished
3 BHK Apartment in Amanora Gateway Towers,"58,000",1600,"Hadapsar, Pune",Unfurnished
2 BHK Apartment in Amanora Trendy Homes,"32,000",1070,"Hadapsar, Pune",Semi-Furnished
3 BHK Apartment in Marvel Enigma,"50,000",1850,"Kharadi, Pune",Unfurnished
3 BHK Apartment in Bramha Sun City Phase 2,"45,000",1850,"Kalyani Nagar, Pune",Unfurnished
2 BHK Apartment in Shubh Gateway,"40,000",1300,"Viman Nagar, Pune",Unfurnished
3 BHK Apartment in Vascon Forest County,"45,000",1850,"Kharadi, Pune",Unfurnished
3 BHK Apartment in Geras Song Of Joy,"55,000",1800,"Kharadi, Pune",Furnished
2 BHK Apartment in Amanora Adreno Towers,"35,000",1163,"Hadapsar, Pune",Semi-Furnished
3 BHK Villa in Kolte Patil Ivy Villa Phase 2,"30,000",3300,"Wagholi, Pune",Semi-Furnished
3 BHK Villa in Kolte Patil Ivy Villa,"32,000",3300,"Wagholi, Pune",Semi-Furnished
2 BHK Apartment in Abhinav Pebbles II,"24,000",1100,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Nyati Equatorial II,"24,500",1076,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Pinnacle Gulmohar,"21,000",980,"Bavdhan, Pune",Unfurnished
2 BHK Apartment in Magarpatta Grevillea,"35,000",1150,"Hadapsar, Pune",Furnished
1 BHK Apartment in Magarpatta Heliconia,"22,000",630,"Hadapsar, Pune",Unfurnished
4 BHK Apartment in Magarpatta Cosmos,"42,000",1600,"Hadapsar, Pune",Semi-Furnished
4 BHK Apartment in Amanora Adreno Towers,"70,000",1800,"Hadapsar, Pune",Furnished
1 BHK Apartment in Amanora Future Towers,"28,000",600,"Hadapsar, Pune",Semi-Furnished
1 BHK Apartment in Magarpatta Annex,"25,000",630,"Hadapsar, Pune",Furnished
1 BHK Apartment in Amanora Adreno Towers,"26,000",550,"Hadapsar, Pune",Furnished
2 BHK Apartment in Magarpatta Trillium,"34,000",1150,"Hadapsar, Pune",Semi-Furnished
3 BHK Apartment in Magarpatta Jasminium,"50,000",1550,"Hadapsar, Pune",Furnished
4 BHK Apartment in Magarpatta Cosmos,"42,000",1600,"Hadapsar, Pune",Semi-Furnished
2 BHK Apartment in Gagan Adira,"20,000",1170,"Wagholi, Pune",Semi-Furnished
3 BHK Apartment in Marvel Ganga Fria,"32,000",1755,"Wagholi, Pune",Semi-Furnished
2 BHK Apartment in Vishal Belleza,"27,000",1007,"Hadapsar, Pune",Semi-Furnished
2 BHK Apartment in Vishal Belleza,"28,000",1007,"Hadapsar, Pune",Semi-Furnished
1 RK Studio Apartment,"8,000",310,"Kharadi, Pune",Semi-Furnished
1 BHK Apartment in Paranjape Blue Ridge,"18,500",550,"Hinjewadi, Pune",Semi-Furnished
3 BHK Apartment in Amanora Future Towers,"65,000",1500,"Hadapsar, Pune",Furnished
2 BHK Apartment in Kolte Patil IVY Apartments,"29,000",1255,"Wagholi, Pune",Semi-Furnished
2 BHK Apartment in Kolte Patil IVY Apartments,"28,000",1655,"Wagholi, Pune",Semi-Furnished
2 BHK Apartment in Kolte Patil Ivy Estate Nia,"16,000",811,"Wagholi, Pune",Unfurnished
1 BHK Apartment in Kolte Patil Ivy Estate Nia,"12,000",700,"Wagholi, Pune",Unfurnished
3 BHK Villa in Kolte Patil Ivy Villa,"31,000",3300,"Wagholi, Pune",Semi-Furnished
1 BHK Apartment in Amanora Trendy Homes,"26,000",650,"Hadapsar, Pune",Furnished
1 BHK Apartment in Amanora Future Towers,"30,000",614,"Hadapsar, Pune",Furnished
2 BHK Apartment in Amanora Adreno Towers,"37,000",1136,"Hadapsar, Pune",Furnished
1 BHK Apartment in Amanora Trendy Homes,"27,000",650,"Hadapsar, Pune",Furnished
3 BHK Apartment in Amanora Gateway Tower 100,"58,000",1405,"Hadapsar, Pune",Unfurnished
2 BHK Apartment in Amanora Adreno Towers,"35,000",1136,"Hadapsar, Pune",Unfurnished
2 BHK Apartment in Amanora Future Towers,"32,000",975,"Hadapsar, Pune",Unfurnished
